73	132
46	127
141	173
138	168
117	350
112	173
71	384
158	341
104	331
83	164
247	251
118	333
62	125
107	319
227	274
74	180
116	328
185	296
203	273
212	264
198	217
62	349
153	295
130	157
70	368
104	343
138	153
75	370
248	234
223	228
247	251
184	310
86	301
83	376
279	198
52	326
251	210
154	332
75	164
56	367
194	281
234	223
208	260
190	305
81	169
194	293
213	236
125	343
174	310
91	157
79	329
137	252
230	265
147	165
113	223
78	133
198	275
227	194
118	155
192	164
162	291
258	242
161	148
280	225
78	377
81	317
285	184
261	165
203	189
90	275
218	202
136	237
212	287
40	129
263	186
240	212
213	236
291	194
250	228
157	152
112	150
160	351
81	198
234	283
239	226
36	184
153	344
144	337
257	220
53	133
74	171
74	309
78	211
40	181
124	253
85	191
93	347
266	179
96	293
145	153
274	192
237	193
47	343
80	189
110	355
65	140
213	295
161	298
101	316
146	214
75	268
101	264
92	132
251	174
222	259
243	233
121	337
79	249
60	373
101	125
37	329
138	260
43	170
109	218
132	246
133	162
123	112
285	202
275	201
81	206
147	302
131	232
90	369
102	355
139	100
57	144
246	209
122	122
135	337
112	322
68	157
192	288
62	379
248	217
103	196
253	160
211	279
120	224
180	301
106	185
64	169
149	148
169	308
104	326
88	204
230	279
183	204
32	324
108	178
99	152
123	153
165	295
196	177
138	321
131	193
147	302
189	198
51	175
168	300
67	130
72	304
133	311
222	297
109	189
221	206
64	341
149	337
251	239
113	313
98	187
91	325
201	257
217	248
157	160
82	325
153	237
111	349
158	225
