277	73
282	46
236	141
241	138
59	117
236	112
25	71
68	158
78	104
245	83
50	105
76	118
284	62
90	107
135	227
229	74
81	116
113	185
136	203
145	212
192	198
60	62
114	153
252	130
41	70
66	104
256	138
39	75
174	248
181	223
158	247
99	184
108	86
33	83
211	279
83	52
199	251
77	154
245	75
42	56
128	194
186	234
149	208
104	190
240	81
116	194
102	142
66	125
99	174
252	91
80	79
157	137
144	230
244	147
186	113
276	78
134	198
215	227
254	118
245	192
118	162
167	258
261	161
184	280
32	78
92	81
225	285
244	261
220	203
134	90
207	218
172	136
122	212
280	40
223	263
197	240
173	213
215	291
181	250
257	157
259	112
58	160
211	81
126	234
183	239
225	36
65	153
72	144
189	257
276	53
238	74
100	74
198	78
228	40
156	124
218	85
62	93
230	266
116	96
256	145
217	274
216	237
66	47
220	80
54	110
269	65
114	213
111	161
93	101
196	146
141	75
145	101
277	92
235	251
150	222
176	243
72	121
160	79
36	60
284	101
80	37
149	138
239	43
191	109
163	132
247	133
297	123
207	285
208	275
203	81
107	147
177	131
40	90
54	102
309	139
265	57
200	246
287	122
72	135
87	112
252	68
121	192
30	62
192	248
213	103
249	253
130	211
185	120
108	180
224	106
240	64
261	150
101	169
83	105
205	88
130	230
205	183
85	32
231	108
257	99
256	123
114	165
232	196
88	138
216	131
207	250
211	189
234	51
109	168
279	67
105	72
98	133
112	222
220	109
203	221
68	64
72	149
170	251
96	113
222	98
84	91
152	201
161	217
249	157
84	82
172	153
60	111
184	158
